     x     Q2  rate(Hz)
 0.175   2.50  0.8111
 0.175   3.50  1.5572
 0.185   3.50  11.5346
 0.195   3.50  31.5449
 0.205   3.50  60.9027
 0.215   3.50  108.7143
 0.225   3.50  168.1548
 0.235   3.50  294.6865
 0.235   4.50  35.7774
 0.245   3.50  157.8584
 0.245   4.50  257.5250
 0.255   4.50  656.1495
 0.265   4.50  920.4114
 0.275   4.50  1048.0273
 0.285   4.50  1399.0165
 0.285   5.50  10.9701
 0.295   4.50  1315.6166
 0.295   5.50  150.9685
 0.305   4.50  1538.1282
 0.305   5.50  422.6907
 0.315   4.50  1519.2590
 0.315   5.50  1204.0378
 0.325   4.50  915.3438
 0.325   5.50  1821.6233
 0.335   4.50  320.6941
 0.335   5.50  2987.3398
 0.335   6.50  1.5717
 0.345   5.50  3564.4741
 0.345   6.50  93.4428
 0.355   5.50  3508.7788
 0.355   6.50  238.0943
 0.365   5.50  3191.2314
 0.365   6.50  700.2848
 0.375   5.50  2991.8301
 0.375   6.50  1151.4828
 0.385   5.50  2096.7339
 0.385   6.50  1590.8646
 0.395   5.50  2034.8934
 0.395   6.50  2248.4783
 0.405   5.50  1313.9164
 0.405   6.50  2791.3975
 0.405   7.50  26.3137
 0.415   5.50  955.1653
 0.415   6.50  2810.3916
 0.415   7.50  277.6268
 0.425   5.50  478.8856
 0.425   6.50  3051.5935
 0.425   7.50  457.7662
 0.435   5.50  193.9354
 0.435   6.50  3278.5430
 0.435   7.50  739.9167
 0.445   6.50  3015.4243
 0.445   7.50  984.0973
 0.455   6.50  2665.3372
 0.455   7.50  1227.4084
 0.465   6.50  2207.1431
 0.465   7.50  1477.1196
 0.475   6.50  1904.0067
 0.475   7.50  1678.9958
 0.475   8.50  21.9432
 0.485   6.50  1482.7491
 0.485   7.50  1636.4230
 0.485   8.50  168.6491
 0.495   6.50  1322.0142
 0.495   7.50  1622.7275
 0.495   8.50  279.4353
 0.505   6.50  963.0029
 0.505   7.50  1615.8706
 0.505   8.50  431.5978
 0.515   6.50  673.7288
 0.515   7.50  1645.2200
 0.515   8.50  605.8331
 0.525   6.50  454.6840
 0.525   7.50  1407.6577
 0.525   8.50  672.4612
 0.535   6.50  372.7462
 0.535   7.50  1486.9670
 0.535   8.50  775.2590
 0.545   6.50  205.2876
 0.545   7.50  1313.1121
 0.545   8.50  869.6641
 0.555   6.50  74.3420
 0.555   7.50  1323.1467
 0.555   8.50  838.8029
 0.555   9.50  54.7817
 0.565   7.50  1167.7147
 0.565   8.50  776.4935
 0.565   9.50  144.5852
 0.575   7.50  991.2250
 0.575   8.50  775.4537
 0.575   9.50  206.1255
 0.585   7.50  836.4916
 0.585   8.50  729.3719
 0.585   9.50  256.4502
 0.595   7.50  695.8817
 0.595   8.50  714.5927
 0.595   9.50  263.2338
 0.605   7.50  633.8969
 0.605   8.50  671.1929
 0.605   9.50  349.1696
 0.615   7.50  515.0803
 0.615   8.50  543.0148
 0.615   9.50  359.1757
 0.625   7.50  393.8670
 0.625   8.50  523.3825
 0.625   9.50  363.0793
 0.625  10.50  0.5448
 0.635   7.50  333.1561
 0.635   8.50  528.9180
 0.635   9.50  329.5127
 0.635  10.50  15.3887
 0.645   7.50  243.8840
 0.645   8.50  501.1592
 0.645   9.50  343.8837
 0.645  10.50  59.9043
 0.655   7.50  214.5634
 0.655   8.50  425.4781
 0.655   9.50  313.8662
 0.655  10.50  72.5596
 0.665   7.50  138.3337
 0.665   8.50  396.3043
 0.665   9.50  283.9110
 0.665  10.50  100.7081
 0.675   7.50  90.5569
 0.675   8.50  368.7007
 0.675   9.50  258.8326
 0.675  10.50  112.2883
 0.685   7.50  77.5239
 0.685   8.50  340.1343
 0.685   9.50  233.6004
 0.685  10.50  112.6526
 0.695   7.50  28.6135
 0.695   8.50  329.8657
 0.695   9.50  220.3930
 0.695  10.50  131.8214
 0.705   7.50  3.7589
 0.705   8.50  294.4890
 0.705   9.50  200.2394
 0.705  10.50  124.2857
 0.715   8.50  237.8780
 0.715   9.50  196.6140
 0.715  10.50  133.9521
 0.715  11.50  4.5853
 0.725   8.50  166.7866
 0.725   9.50  171.4869
 0.725  10.50  112.9922
 0.725  11.50  10.2308
 0.735   8.50  62.3062
 0.735   9.50  161.6385
 0.735  10.50  111.9549
 0.735  11.50  18.8280
 0.745   8.50  4.3336
 0.745   9.50  114.8607
 0.745  10.50  88.4622
 0.745  11.50  23.1763
 0.755   9.50  42.7828
 0.755  10.50  84.8766
 0.755  11.50  31.7938
 0.765   9.50  0.8916
 0.765  10.50  63.4360
 0.765  11.50  33.2749
 0.775  10.50  16.3942
 0.775  11.50  43.7285
 0.785  11.50  20.6485
 0.795  11.50  0.6123
