x,Q2,rate(Hz)
0.150,2.50,0.8111
0.150,3.50,44.6367
0.250,3.50,790.3167
0.250,4.50,5632.5210
0.250,5.50,161.9386
0.350,4.50,4293.4238
0.350,5.50,23823.5996
0.350,6.50,6024.2236
0.450,5.50,2941.9021
0.450,6.50,24528.6172
0.450,7.50,10128.3867
0.450,8.50,470.0279
0.550,6.50,2743.7917
0.550,7.50,12483.2930
0.550,8.50,7189.5225
0.550,9.50,925.1766
0.650,7.50,2669.4766
0.650,8.50,4628.1431
0.650,9.50,3055.4238
0.650,10.50,605.8680
0.750,7.50,3.7589
0.750,8.50,765.7933
0.750,9.50,888.5140
0.750,10.50,736.3540
0.750,11.50,186.8782
