x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.155,5.75,0.0767,-0.000380546,-0.000175755,-0.000373633,0.00152337,1.07635e-06,1.70185e-06,-0.540898,0.63486,0.582286,0.582286,-0.548174,11.7189,0.00828005,0.00727682,0.021675,-0.0525746
0.155,5.95,0.1485,-0.000394057,-0.00106499,-0.000387045,0.00109481,1.11456e-06,1.76228e-06,-65.6646,0.633244,0.581768,0.581768,-68.0727,8.12846,0.00827508,2.40814,0.0217893,-0.0514768
0.165,6.05,0.1957,-0.0003977,0.000128371,-0.000390817,0.000953691,1.12487e-06,1.77857e-06,-1.4728,0.616687,0.567277,0.567277,-1.47666,6.91982,0.00816185,0.00386111,0.0214109,-0.0494104
0.165,6.15,0.4863,-0.000404451,3.32813e-05,-0.000397528,0.000604994,1.14396e-06,1.80876e-06,-1.24659,0.615898,0.567037,0.567037,-1.25118,4.31541,0.00815986,0.00458308,0.0214767,-0.0488603
0.165,6.25,0.9975,-0.000411178,-0.000688419,-0.000404209,0.000422422,1.16299e-06,1.83884e-06,3.97617,0.615177,0.566802,0.566802,3.93783,2.96312,0.00815789,0.0383413,0.0215331,-0.0483746
0.165,6.35,1.183,-0.000417879,-0.00161751,-0.000410856,0.000387892,1.18194e-06,1.86881e-06,-9.81237,0.614527,0.566573,0.566573,-9.8329,2.67664,0.00815595,0.0205319,0.0215799,-0.0479542
0.165,6.45,0.2929,-0.000424551,0.000334496,-0.000417468,0.000779549,1.20081e-06,1.89865e-06,-1.82063,0.613947,0.566347,0.566347,-1.82351,5.29348,0.00815404,0.00287267,0.021617,-0.0475997
0.175,6.45,1.4437,-0.0004214,-0.000393201,-0.000414567,0.000351127,1.1919e-06,1.88456e-06,0.415617,0.598425,0.552752,0.552752,0.403916,2.37059,0.00804695,0.0117007,0.021226,-0.0456732
0.175,6.55,1.4786,-0.000428109,-0.000836402,-0.000421236,0.000346959,1.21088e-06,1.91456e-06,7.21492,0.597755,0.552537,0.552537,7.13974,2.3053,0.00804543,0.0751794,0.0212855,-0.0452179
0.175,6.65,3.4237,-0.000434796,-0.000348296,-0.000427877,0.000228011,1.22979e-06,1.94446e-06,0.0933597,0.597142,0.552327,0.552327,0.0833007,1.49139,0.00804392,0.010059,0.0213365,-0.0448151
