x,Q2 (GeV^2),rate (Hz),d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.155,5.88503,0.2252,-44.5104,0.633769,0.581936,0.581936,-46.1387,6.67905,0.00827669,1.62826,0.0217522,0.0518334
0.165,6.28175,3.1554,-2.96751,0.615,0.566731,0.566731,-2.98858,1.65807,0.00815729,0.0210641,0.0215439,0.0482684
0.175,6.63724,9.227,2.28397,0.597247,0.552356,0.552356,2.25648,0.910653,0.00804411,0.02749,0.021326,0.0448915
0.185,6.95533,17.7585,1.6012,0.580465,0.53875,0.53875,1.53585,0.621978,0.00793681,0.065347,0.0210995,0.0417147
0.195,7.32393,36.5541,0.323902,0.564158,0.525702,0.525702,0.312586,0.408744,0.00783433,0.0113168,0.0209105,0.0384555
0.205,7.64463,60.4079,0.346643,0.548842,0.513348,0.513348,0.335213,0.302626,0.00773749,0.0114302,0.0207077,0.0354946
0.215,7.99581,116.996,0.385358,0.534098,0.501497,0.501497,0.36997,0.206567,0.0076454,0.0153874,0.0205301,0.0326019
0.225,8.31851,202.546,0.52166,0.520171,0.490211,0.490211,0.509679,0.149996,0.0075582,0.0119817,0.0203486,0.0299592
0.235,8.6642,273.181,0.636978,0.506826,0.479381,0.479381,0.624441,0.123284,0.0074755,0.0125371,0.0201867,0.0274455
0.245,9.01037,384.221,0.43605,0.494093,0.468978,0.468978,0.423946,0.0994122,0.00739691,0.0121043,0.0200327,0.0251147
0.255,9.35367,477.789,0.629501,0.481953,0.458986,0.458986,0.617107,0.0854163,0.00732229,0.012394,0.0198866,0.022967
0.265,9.67649,612.856,0.558766,0.470403,0.449381,0.449381,0.546854,0.0725378,0.00725116,0.0119116,0.0197381,0.0210223
0.275,10.0217,777.333,0.466409,0.459287,0.440079,0.440079,0.454981,0.0618911,0.00718335,0.0114283,0.0196053,0.019208
0.285,10.3552,886.88,0.439945,0.448667,0.431107,0.431107,0.428754,0.055818,0.00711861,0.0111912,0.0194743,0.0175594
0.295,10.688,1047.66,0.472368,0.438451,0.422396,0.422396,0.461057,0.0495367,0.00705654,0.0113105,0.0193486,0.0160548
0.305,11.0497,1158.78,0.419338,0.428585,0.413934,0.413934,0.408316,0.0453616,0.00699731,0.0110217,0.0192399,0.0146501
0.315,11.3741,1297.98,0.424883,0.419123,0.405713,0.405713,0.413891,0.0414699,0.00694003,0.0109921,0.0191202,0.0134097
0.325,11.708,1367.3,0.430785,0.409981,0.397716,0.397716,0.419811,0.0390952,0.00688506,0.0109744,0.0190097,0.0122654
0.335,12.0473,1373.36,0.417232,0.401118,0.389893,0.389893,0.406374,0.0377636,0.00683201,0.0108581,0.0189048,0.0112246
0.345,12.3912,1404.73,0.424427,0.392531,0.382261,0.382261,0.413566,0.0361665,0.00678085,0.0108605,0.0188055,0.0102705
0.355,12.7117,1333.37,0.468725,0.38422,0.374802,0.374802,0.457682,0.0360535,0.00673113,0.0110432,0.0187014,0.00941829
0.365,13.0246,1428.62,0.426139,0.37614,0.367492,0.367492,0.415347,0.0338736,0.0066828,0.0107914,0.0185979,0.00864746
0.375,13.3562,1321.12,0.379515,0.368266,0.360333,0.360333,0.368985,0.0342375,0.00663606,0.0105299,0.0185024,0.0079328
0.385,13.6795,1350.34,0.38994,0.360578,0.353288,0.353288,0.379394,0.0329513,0.00659052,0.0105464,0.0184089,0.00729013
0.395,13.9869,1332.88,0.44594,0.353095,0.34639,0.34639,0.435163,0.032332,0.00654604,0.0107774,0.018312,0.00670436
0.405,14.3029,1256.17,0.369089,0.345765,0.339595,0.339595,0.358713,0.0324643,0.00650273,0.0103767,0.0182207,0.00616995
0.415,14.6317,1211.3,0.330955,0.338572,0.332891,0.332891,0.320789,0.0322159,0.00646052,0.0101662,0.0181356,0.00568062
0.425,14.9265,1181.69,0.305691,0.331559,0.326324,0.326324,0.295678,0.0318756,0.006419,0.0100125,0.0180419,0.00523527
0.435,15.2158,1112.03,0.41263,0.324676,0.319839,0.319839,0.402142,0.0321375,0.00637827,0.0104877,0.0179486,0.00483678
0.445,15.5563,1000.77,0.356599,0.317877,0.313421,0.313421,0.346411,0.0330314,0.00633892,0.0101881,0.0178748,0.00445654
0.455,15.8358,963.898,0.34503,0.311246,0.307129,0.307129,0.334921,0.0329738,0.00629969,0.0101088,0.0177812,0.00411651
0.465,16.1453,929.457,0.27226,0.304704,0.300899,0.300899,0.262519,0.0328419,0.00626154,0.00974138,0.0177,0.00380456
0.475,16.4558,856.569,0.285054,0.29826,0.294742,0.294742,0.275285,0.0334684,0.0062241,0.00976917,0.0176215,0.00351721
0.485,16.7227,821.744,0.357685,0.291938,0.288687,0.288687,0.347607,0.0335274,0.00618692,0.0100784,0.0175321,0.00325087
0.495,17.032,772.281,0.314371,0.285702,0.282696,0.282696,0.30452,0.0338715,0.00615076,0.00985052,0.0174545,0.00300627
0.505,17.3331,671.004,0.235599,0.279555,0.276772,0.276772,0.226126,0.0356076,0.00611521,0.00947295,0.0173781,0.00278331
0.515,17.6416,632.643,0.325249,0.27348,0.270914,0.270914,0.315406,0.0359275,0.00608027,0.0098428,0.0173059,0.00256663
0.525,17.9081,589.815,0.261749,0.267622,0.265244,0.265244,0.252222,0.0365692,0.00604601,0.009527,0.0172216,0.00237853
0.535,18.1873,543.309,0.217732,0.261867,0.259658,0.259658,0.208427,0.0374257,0.00601262,0.00930497,0.0171438,0.0022093
0.545,18.4714,512.556,0.266948,0.255978,0.253938,0.253938,0.257455,0.037842,0.00597865,0.00949346,0.0170669,0.00204057
0.555,18.7265,448.676,0.246263,0.250041,0.248166,0.248166,0.236882,0.0397897,0.00594415,0.0093803,0.0169824,0.00187435
0.565,19.0162,432.027,0.239971,0.244469,0.242736,0.242736,0.230644,0.0398382,0.00591218,0.00932698,0.0169111,0.00173263
0.575,19.2978,379.82,0.267504,0.238901,0.237305,0.237305,0.258065,0.0417592,0.0058803,0.00943908,0.0168399,0.00159618
0.585,19.5724,354.172,0.272917,0.233415,0.231945,0.231945,0.26348,0.042544,0.00584876,0.00943738,0.0167658,0.00147
0.595,19.8243,313.653,0.254112,0.228011,0.226658,0.226658,0.244795,0.0445336,0.00581752,0.0093165,0.0166876,0.0013529
0.605,20.1084,289.914,0.164354,0.222672,0.221432,0.221432,0.155446,0.0455496,0.0057872,0.0089079,0.0166215,0.0012402
0.615,20.3508,282.082,0.315254,0.217423,0.216285,0.216285,0.305711,0.0455221,0.0057569,0.00954223,0.0165442,0.00113753
0.625,20.6731,234.329,0.310242,0.21224,0.211202,0.211202,0.300698,0.0490737,0.00572788,0.00954383,0.0164873,0.00103754
0.635,20.9182,211.194,0.264231,0.207146,0.206199,0.206199,0.254919,0.0509494,0.00569873,0.00931176,0.0164161,0.000946437
0.645,21.1597,197.994,0.240421,0.202132,0.20127,0.20127,0.231259,0.051926,0.00566985,0.00916148,0.0163405,0.000861757
0.655,21.3678,178.816,0.134954,0.197213,0.19643,0.19643,0.126277,0.0539959,0.00564126,0.00867674,0.0162596,0.00078364
0.665,21.6504,155.206,0.223819,0.192362,0.191655,0.191655,0.214737,0.0570905,0.00561395,0.00908175,0.0161988,0.00070738
0.675,21.9959,137.214,0.257196,0.187577,0.186944,0.186944,0.248013,0.0596045,0.00558794,0.00918347,0.0161593,0.000633326
0.685,22.1716,121.071,0.254479,0.182917,0.182346,0.182346,0.245296,0.0628405,0.00556057,0.00918368,0.0160735,0.000570246
0.695,22.4817,100.561,0.238149,0.178324,0.177816,0.177816,0.229079,0.0678637,0.00553521,0.00907062,0.0160247,0.000507342
0.705,22.6429,103.932,0.324123,0.17383,0.173378,0.173378,0.314679,0.066169,0.00550872,0.00944476,0.0159382,0.000451978
0.715,22.9626,87.7313,0.273112,0.16943,0.169032,0.169032,0.26387,0.0708638,0.00548468,0.00924268,0.0158956,0.000397595
0.725,23.1511,72.9646,0.165557,0.165126,0.164777,0.164777,0.156763,0.0769402,0.0054597,0.00879384,0.0158199,0.000349217
0.735,23.4668,65.0813,0.24906,0.160901,0.160599,0.160599,0.239977,0.0802016,0.00543668,0.00908324,0.015779,0.000302312
0.745,23.6865,54.7047,0.183002,0.156817,0.156556,0.156556,0.174187,0.0865328,0.00541332,0.00881475,0.0157137,0.000261293
0.755,23.9859,45.6833,0.329425,0.152793,0.152571,0.152571,0.31983,0.0933347,0.00539126,0.00959492,0.0156704,0.000221865
0.765,24.0813,42.1626,0.227995,0.148927,0.148739,0.148739,0.218901,0.0966055,0.00536794,0.00909312,0.0155802,0.000188652
0.775,24.3371,35.4522,0.22015,0.145139,0.144983,0.144983,0.211112,0.10409,0.00534674,0.00903776,0.0155284,0.000156543
0.785,24.7331,31.9224,0.328471,0.141447,0.141321,0.141321,0.318874,0.107761,0.00532763,0.00959702,0.0155121,0.000126686
0.795,24.8247,24.6022,0.272725,0.137936,0.137833,0.137833,0.263193,0.122136,0.00530628,0.00953163,0.015425,0.000102407
0.805,25.1782,19.8554,0.294427,0.134484,0.134405,0.134405,0.284493,0.133821,0.00528812,0.00993458,0.0154022,7.88279e-05
0.815,25.2436,18.2884,0.536732,0.131292,0.131231,0.131231,0.524675,0.138963,0.00526825,0.0120566,0.015312,6.06227e-05
0.825,25.6082,13.9608,-1.14635,0.128021,0.127979,0.127979,-1.32955,0.156501,0.00525128,0.183196,0.015295,4.22618e-05
0.835,25.8011,11.298,0.596058,0.124988,0.12496,0.12496,0.584316,0.172464,0.00523375,0.0117413,0.0152387,2.77336e-05
0.845,26.0521,9.4686,0.708632,0.122087,0.122072,0.122072,0.695834,0.186337,0.0052176,0.0127976,0.0151981,1.54268e-05
0.855,26.2379,7.9284,0.902875,0.119337,0.119331,0.119331,0.887294,0.202043,0.00520153,0.0155808,0.0151424,5.51379e-06
0.865,26.519,6.1072,-1.11162,0.116725,0.116728,0.116728,-1.68188,0.227443,0.00518733,0.570267,0.0151132,2.46529e-06
0.875,26.5953,4.6328,-1.65464,0.114275,0.114283,0.114283,-1.77086,0.260245,0.00517184,0.11622,0.015037,8.34329e-06
0.885,26.9109,3.7287,-0.643023,0.111973,0.111986,0.111986,-0.687037,0.286167,0.00515981,0.0440139,0.0150214,1.26034e-05
0.895,28.0959,1.4809,1.79405,0.109821,0.109836,0.109836,1.73152,0.432556,0.00515746,0.0625285,0.0152047,1.52645e-05
0.905,29.3513,0.2452,-1.55743,0.107842,0.107858,0.107858,-1.59243,1.01284,0.00515574,0.0350001,0.015383,1.62805e-05
