x,d/u,d/u err
0.155,1,0.502756
0.165,1,0.78125
0.175,1,0.921549
0.185,0.476418,0.724399
0.195,0.361841,0.337011
0.205,0.22091,0.243957
0.215,0.229751,0.17465
0.225,0.496427,0.146742
0.235,0.616345,0.128449
0.245,0.465931,0.0982475
0.255,0.601329,0.0903856
0.265,0.55143,0.0758892
0.275,0.448677,0.0625191
0.285,0.437085,0.0565791
0.295,0.467994,0.0514266
0.305,0.407718,0.0462419
0.315,0.417753,0.0428725
0.325,0.425676,0.0408799
0.335,0.415716,0.0395496
0.345,0.42049,0.0382154
0.355,0.463253,0.038967
0.365,0.422769,0.0362584
0.375,0.37587,0.0359429
0.385,0.385471,0.0349667
0.395,0.443038,0.0353767
0.405,0.36531,0.0343692
0.415,0.326284,0.0336119
0.425,0.302495,0.0330108
0.435,0.407152,0.0349843
0.445,0.352817,0.0350789
0.455,0.338642,0.0348822
0.465,0.267268,0.0337024
0.475,0.280385,0.0345876
0.485,0.351665,0.0358969
0.495,0.306649,0.0355746
0.505,0.225605,0.0359501
0.515,0.317402,0.0379402
0.525,0.254995,0.0375482
0.535,0.211074,0.0376646
0.545,0.261222,0.0390678
0.555,0.237673,0.0406025
0.565,0.230956,0.0406137
0.575,0.250887,0.0429688
0.585,0.255766,0.0439387
0.595,0.243171,0.0457272
0.605,0.151536,0.0448027
0.615,0.299882,0.0481805
0.625,0.272717,0.0512441
0.635,0.229316,0.0521631
0.645,0.216097,0.0529088
0.655,0.117646,0.0524478
0.665,0.181978,0.0572871
0.675,0.2244,0.0611081
0.685,0.206175,0.0638993
0.695,0.197836,0.068728
0.705,0.27076,0.0695957
0.715,0.21251,0.0724974
0.725,0.093095,0.0739521
0.735,0.184394,0.0809803
0.745,0.106279,0.0837905
0.755,0.193347,0.0946376
0.765,0.104333,0.0933912
0.775,0.0901404,0.0995609
0.785,0.158649,0.107384
0.795,0.0361172,0.109047
0.805,3.48555e-13,0.667796
0.815,0.0701522,0.12891
0.825,0.377614,0.172391
0.835,0.138397,0.166546
0.845,0.106913,0.174269
0.855,1.38641e-11,0.74231
0.865,0.0913201,0.202656
0.875,1.19349e-14,0.697535
0.885,0.127596,0.253844
0.895,9.87544e-09,0.633774
0.905,7.74936e-14,0.98137
