x,d_V,u_V,s_V,c_V,d_p,u_p,s_p,c_p,dV/uV,d,dbar,u,ubar,s,sbar,c,cbar,d_unc,dbar_unc,u_unc,ubar_unc,s_unc,sbar_unc,c_unc,cbar_unc,(dV/uV)_unc
0.155,0.28759269401657295,0.6135276928067332,0.023468931476425047,6.89768206961483e-10,0.5058578494002771,0.7549946387253788,0.07944298730476973,0.013995374175048914,0.4687525883320922,0.39672527170842503,0.1091325776918521,0.684261165766056,0.07073347295932275,0.05145595939059739,0.027987027914172343,0.00699768743240856,0.006997686742640353,0.009295136690852775,0.005910538854633666,0.007081273652175761,0.004150544869114712,0.008311421634328258,0.00491458664357057,0.00162913295270985,0.0016291339447172936,0.019017556383511765
0.165,0.28678681204639433,0.6179662150508161,0.02296929161720131,4.911238167884524e-09,0.48382507235367267,0.7452688435219967,0.07331984926681183,0.014971913724106932,0.46408170068457794,0.3853059422000335,0.09851913015363918,0.6816175292864064,0.06365131423559031,0.04814457044200657,0.025175278824805258,0.00748595931767255,0.007485954406434382,0.008968633104845946,0.005474173677835727,0.006722510368987705,0.003907969778655223,0.007985813354061545,0.004546871325000493,0.001719478845092189,0.0017194787115807919,0.01797783241210167
0.175,0.2871443052650959,0.6236522627608425,0.02258399816565835,9.966989696248707e-09,0.4672338402152458,0.7393778592613613,0.06781531636585056,0.01466757045577289,0.46042373676949144,0.3771890727401708,0.09004476747507494,0.6815150610111019,0.05786279825025943,0.04519965726575446,0.022615659100096108,0.007333790211381292,0.007333780244391596,0.008794167716453569,0.005182435539273546,0.006499492762111374,0.003747134640178356,0.007803260445479787,0.004296260809496143,0.0018156609227844677,0.0018156615674782778,0.017279200824549746
0.185,0.2851924133199898,0.625436644832593,0.021899837091696957,5.459989301827284e-09,0.4480679325021548,0.7297224994800842,0.06261489871925127,0.014836427345565527,0.4559892927225676,0.3666301729110723,0.08143775959108249,0.6775795721563386,0.05214292732374561,0.042257367905474116,0.02035753081377716,0.007418216402777414,0.007418210942788112,0.008571899535328652,0.004877477939795009,0.006283778452371914,0.003560400647695961,0.007583429667650953,0.004036215935145518,0.0019166075354097995,0.0019166079485303373,0.016624782580435284
0.195,0.2820190156943364,0.6249064600107419,0.02107530861452409,-8.07292933370507e-09,0.4287523450353252,0.7185477404165346,0.05776316279968555,0.014992293793884727,0.4512979681622888,0.3553856803648308,0.07336666467049444,0.6717271002136382,0.04682064020289639,0.039419235707104816,0.018343927092580727,0.007496142860477697,0.0074961509334070305,0.00835880231688727,0.0046124808104797315,0.006129737923678605,0.003385599634438863,0.007372128106557018,0.0038048152242525267,0.002018950337676011,0.002018950088896606,0.01609269016331653
0.205,0.27930493112671373,0.6248787906779669,0.020308939979425605,7.112719471562279e-09,0.41216303206559546,0.7092890809279293,0.053407348371373634,0.014826389855443437,0.446974573778828,0.3457339815961546,0.06642905046944084,0.6670839358029481,0.04220514512498124,0.03685814417539962,0.016549204195974016,0.007413198484081455,0.007413191371361983,0.008214396298584713,0.00442943998184112,0.006069518355869279,0.0032565397369307193,0.007218959970092115,0.003633449610435302,0.002122245841265707,0.002122246157197733,0.01572665671427761
0.215,0.2741407105190606,0.620434615170191,0.01930272208516598,8.83805391545256e-09,0.39305222964439473,0.6957284482305134,0.04919274127979574,0.014970303572364813,0.4418527010196896,0.33359647008172766,0.05945575956266709,0.6580815317003522,0.037646916530161216,0.03424773168248086,0.014945009597314882,0.007485156205209364,0.0074851473671554486,0.008022913936071558,0.004248052909140849,0.006043021694447733,0.0031167252280496923,0.007015706795769424,0.003456736196165963,0.0022233501217722587,0.0022233496948361876,0.015412394371049217
0.225,0.26848669550942406,0.6148425129349477,0.018281820054974363,7.707481701479946e-10,0.3748170124212802,0.6819001013486807,0.04530669087043954,0.015031393499069436,0.436675554895845,0.3216518539653521,0.053165158455928084,0.6483713071418142,0.03352879420686648,0.03179425546270695,0.013512435407732589,0.007515697134908803,0.007515696364160633,0.007856266944418823,0.004110463767960974,0.006073608655015065,0.003001515047852328,0.006823004067130366,0.0033103288167754723,0.002322845576095473,0.002322846125201395,0.015202482978345757
0.235,0.2632662279224233,0.6097911019740815,0.017337407270104976,7.566230441659327e-09,0.3586868865281074,0.6696486495839137,0.041811979477454964,0.014947199725341836,0.4317318292611183,0.31097655722526535,0.047710329302842004,0.6397198757789976,0.029928773804916084,0.02957469337377997,0.012237286103674996,0.0074736036457861395,0.007473596079555698,0.007738494786244334,0.004021481071435312,0.0061549691618673205,0.0029179131430550984,0.006661520071223772,0.003200757702277202,0.002422704356573441,0.002422704440206443,0.015092909818122786
0.245,0.2559653840216852,0.6007069269840016,0.0162457821010296,3.395214196594276e-09,0.3407567430034064,0.6536285567408263,0.038432255519680374,0.015019680661069856,0.42610692922557597,0.2983610635125458,0.042395679490860615,0.627167741862414,0.026460814878412384,0.027339018810354988,0.011093236709325386,0.007509842028142026,0.0075098386329278295,0.007586287048212776,0.003918673493915235,0.006237808002288291,0.002824044060136258,0.006449133713487211,0.0030827777226328963,0.0025168325578191595,0.002516832191671392,0.015021197098627483
0.255,0.24830047078567813,0.5906516106133365,0.015175241136491296,5.1783375157321565e-09,0.3235785075877405,0.6373531279000505,0.035320779413285396,0.0150481079600646,0.42038397309683334,0.2859394891867093,0.03763901840103117,0.6140023692566935,0.023350758643356995,0.025248010274888346,0.01007276913839705,0.007524056569201058,0.007524051390863542,0.007451778852873309,0.0038244217990435854,0.006329446733446827,0.0027391033826477005,0.0062350049361469696,0.002977803547678291,0.002607897629832695,0.0026078976406315887,0.015006242956693868
0.265,0.2411728502611628,0.581356271861023,0.014199143458958667,-7.15527445453723e-10,0.30825261660585707,0.6226552576617883,0.032534505426609316,0.014992759656929179,0.41484518518932695,0.27471273343350994,0.033539883172347115,0.6020057647614057,0.020649492900382607,0.02336682444278399,0.009167680983825324,0.007496379470700867,0.007496380186228313,0.007357169136292247,0.0037460674415098387,0.0064318107804738015,0.0026690891368555355,0.006042758221424298,0.002892580829150832,0.002698496567843431,0.0026984963220348544,0.015045486849064654
