x,d_V,u_V,s_V,c_V,d_p,u_p,s_p,c_p,dV/uV,d,dbar,u,ubar,s,sbar,c,cbar,d_unc,dbar_unc,u_unc,ubar_unc,s_unc,sbar_unc,c_unc,cbar_unc,(dV/uV)_unc
0.155,0.2978137639438914,0.6237710378982644,0.012684386930108565,-3.044131602606727e-05,0.48913839428325995,0.7485712239489468,0.08188314465435638,0.019558276794666943,0.4774408330135779,0.3934760791135757,0.09566231516968426,0.6861711309236056,0.062400093025341274,0.04728376579223247,0.03459937886212391,0.009763917739320437,0.009794359055346504,0.005702521320508013,0.004862802571454189,0.005629202526547246,0.002303868790803796,0.005588400779860846,0.003563972078840874,0.0011788851360447889,0.0011787295562756164,0.01288507365118402
0.165,0.29522680495830955,0.6276911418832067,0.012091092950746264,-3.9147046161360985e-05,0.4675437627079102,0.7402279840205617,0.07519898150729509,0.019220856354706897,0.47033769518009516,0.3813852838331099,0.08615847887480035,0.6839595629518842,0.0562684210686775,0.04364503722902068,0.03155394427827442,0.009590854654272769,0.00963000170043413,0.005399809330261051,0.0045084871935232645,0.00564061480295144,0.0021448114855246252,0.005333913858168559,0.0032115727953509823,0.0012477454009686662,0.0012475172822296635,0.012084829340267578
0.175,0.2943724638780809,0.6330091170660022,0.011686055551632723,-3.5557111832536584e-05,0.45141176706532915,0.7355313307548477,0.06910900355241183,0.01780542074269345,0.46503668895401945,0.37289211547170503,0.07851965159362412,0.6842702239104249,0.05126110684442281,0.04039752955202228,0.028711474000389554,0.008884931815430458,0.008920488927262995,0.00526473973658008,0.004278154471943837,0.005704579071294495,0.0020710091773761944,0.005169141672632016,0.0029789205608142825,0.0013207894616396102,0.001320567114877527,0.01160719745459999
0.185,0.29117423875240167,0.6341138095968031,0.011194417868429871,-3.5759261849723986e-05,0.4328153945521175,0.7269445167675694,0.06319320257829235,0.01687145297924733,0.4591829326939636,0.3619948166522596,0.0708205778998579,0.6805291631821863,0.04641535358538317,0.03719381022336111,0.025999392354931237,0.008417846858698803,0.008453606120548527,0.0051575029308810715,0.004019121012170651,0.005729439263245708,0.0020017582653515955,0.0049654311612913355,0.002754699862867095,0.0013900175782071502,0.0013897823506979665,0.011208879877777269
0.195,0.2868968017346065,0.6326999052998845,0.010558717422158435,-3.547468139651275e-05,0.41412447417517817,0.7167380231821996,0.05756466212432632,0.01600919838378477,0.45344846637621095,0.35051063795489235,0.06361383622028581,0.674718964241042,0.042019058941157574,0.03406168977324238,0.023502972351083944,0.007986861851194129,0.008022336532590641,0.005107327354574058,0.003763378309939151,0.005723470948943503,0.0019460528965706114,0.004752981621603532,0.002582906278262097,0.0014504598165313452,0.001450216716276549,0.01092304782840028
0.205,0.2833951465308287,0.6318078187352831,0.009892699650706906,-3.21428842747001e-05,0.39817952893655023,0.7084277178632172,0.05246140504964564,0.014949914774816865,0.448546437899602,0.34078733773368947,0.05739219120286078,0.6701177682992502,0.03830994956396705,0.03117705235017627,0.021284352699469364,0.007458885945271082,0.007491028829545782,0.005130489445873449,0.003546535147846856,0.0057154188373917175,0.0019128354657618645,0.004575609468405706,0.002483513888120414,0.0015008213575213227,0.001500594491549721,0.010759064087240451
0.215,0.2776496875384751,0.6262139538478744,0.009039195166136986,-3.140095579268025e-05,0.37983606477708853,0.6957548267396769,0.04744074670143714,0.014173956236853785,0.4433783147635261,0.3287428761577818,0.05109318861930673,0.6609843902937756,0.03477043644590122,0.028239970933787065,0.01920077576765008,0.007071277640530552,0.007102678596323232,0.005144197264277758,0.0032754174018303625,0.005641427056163997,0.0018604017676754835,0.0043486910952222095,0.0023982900962622364,0.0015286654053667855,0.0015284361623289669,0.010608015901182337
0.225,0.271613026849908,0.6195925907384644,0.008209078342301342,-2.986576284812019e-05,0.36242732834490193,0.6827264813028958,0.04281435216996626,0.013390357759251586,0.4383735875959794,0.317020177597405,0.04540715074749695,0.6511595360206801,0.03156694528221569,0.025511715256133802,0.01730263691383246,0.006680245998201733,0.006710111761049853,0.005167133781389639,0.0030025851374637304,0.005545516270694331,0.001801216506460839,0.004128562317707211,0.0023433795421934104,0.0015417980393598162,0.0015415735128666219,0.010490524396373827
0.235,0.2661180982998761,0.6137621476749247,0.00745842410113607,-2.7060224732739988e-05,0.34713409323449673,0.6712406293740356,0.03866217018491076,0.012575446995809526,0.4335850610989844,0.3066260957671864,0.040507997467310305,0.6425013885244801,0.028739240849555498,0.023060297143023416,0.015601873041887346,0.006274193385538393,0.006301253610271133,0.005201400426422313,0.002750400357816109,0.005451895020820747,0.0017426268741009064,0.003930994574163913,0.0023140560119609787,0.0015496680327106956,0.0015494594778886065,0.01040429988808466
0.245,0.2585716568324999,0.6039297697999529,0.00665914402802021,-2.5681688751822557e-05,0.3300911878028911,0.6558530577021601,0.03465729897462997,0.011971181881362246,0.428148552634108,0.2943314223176955,0.035759765485195584,0.6298914137510565,0.0259616439511036,0.02065822150132509,0.01399907747330488,0.005972750096305212,0.005998431785057034,0.005189456447493367,0.0024618729915267795,0.005307231628051136,0.0016604183694781162,0.003691894774268071,0.0022736448635275993,0.0015449628924684479,0.001544759354754751,0.010295421437058324
0.255,0.25092386667119937,0.5931256414623464,0.0058962647399709925,-2.403530900306483e-05,0.31380281590057557,0.6401055379442327,0.031023642276328263,0.011431810342542459,0.4230534799550204,0.28236334128588747,0.03143947461468811,0.6166155897032896,0.023489948240943238,0.018459953508149628,0.012563688768178635,0.005703887516769697,0.005727922825772762,0.005159940934235925,0.0021800653688911274,0.005149733263368795,0.001579505033556292,0.0034513798882706906,0.002235440656789751,0.00153962382366409,0.0015394278475160247,0.010195745468798213
0.265,0.24398557898171222,0.5832186240722192,0.005215528384270047,-2.178082893092813e-05,0.29933552666064234,0.6258987750447047,0.02782126231575369,0.010896390788226575,0.41834325741885053,0.2716605528211773,0.027674973839465065,0.604558699558462,0.021340075486242713,0.01651839535001187,0.011302866965741822,0.005437304979647823,0.0054590858085787515,0.00513373811334521,0.0019395099634736837,0.005000601068423829,0.0015084651284383431,0.0032324146384529804,0.0022047996645279096,0.0015354426473256032,0.0015352604214861562,0.010128114524845876
0.275,0.23566811167960938,0.570222682499719,0.004555202073129365,-2.0231559394729218e-05,0.2839197284472192,0.6088154624280584,0.0248612921124787,0.010453380381716724,0.4132913665350826,0.2597939200634143,0.024125808383804907,0.5895190724638887,0.01929638996416972,0.014708247092804033,0.010153045019674668,0.0052165744111609975,0.005236805970555727,0.005069853781365593,0.001726640885532471,0.004815298853878952,0.0014303376727645188,0.002995485630918179,0.0021603145154555,0.001521435230460823,0.0015212611234522357,0.010073441953374876
